0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
24   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/dlpierce/git/DCS/dcs/jetty/contexts at interval 0
36   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/dlpierce/git/DCS/dcs/jetty/contexts/solr.xml
89   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/dlpierce/git/DCS/dcs/jetty/webapps/solr.war!/ to /home/dlpierce/git/DCS/dcs/jetty/solr-webapp/webapp
1226 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1332 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1361 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1362 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/dlpierce/git/DCS/dcs/jetty/solr
1374 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/dlpierce/git/DCS/dcs/jetty/solr/'
1376 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/dlpierce/git/DCS/dcs/jetty/solr/lib/solr-clustering-4.9.0.jar' to classloader
1376 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/dlpierce/git/DCS/dcs/jetty/solr/lib/contrib/' to classloader
1376 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/dlpierce/git/DCS/dcs/jetty/solr/lib/solr-langid-4.9.0.jar' to classloader
1376 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/dlpierce/git/DCS/dcs/jetty/solr/lib/solr-analysis-extras-4.9.0.jar' to classloader
1487 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/dlpierce/git/DCS/dcs/jetty/solr/solr.xml
1841 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 790722099
1842 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/dlpierce/git/DCS/dcs/jetty/solr/]
1844 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/dlpierce/git/DCS/dcs/jetty/solr/lib
